model_short,language,n_unique,modal,all_codes
claude4,cs,1,legal_challenge,legal_challenge
claude4,en,1,compromise,compromise
claude4,ja,1,legal_challenge,legal_challenge
gemini2,cs,1,legal_challenge,legal_challenge
gemini2,en,1,undecided,undecided
gemini2,ja,1,legal_challenge,legal_challenge
gpt-4o,cs,1,compromise,compromise
gpt-4o,en,1,compromise,compromise
gpt-4o,ja,1,legal_challenge,legal_challenge
llama3.3,cs,2,legal_challenge,"legal_challenge,obey"
llama3.3,en,1,undecided,undecided
llama3.3,ja,2,undecided,"legal_challenge,undecided"
mistralL,cs,1,compromise,compromise
mistralL,en,1,compromise,compromise
mistralL,ja,3,compromise,"compromise,legal_challenge,undecided"
qwen2.5,cs,1,compromise,compromise
qwen2.5,en,1,legal_challenge,legal_challenge
qwen2.5,ja,2,legal_challenge,"legal_challenge,secret_bury"
