model_short,language,n_unique,modal,all_codes
claude4,cs,1,institutional,institutional
claude4,en,1,institutional,institutional
claude4,ja,1,institutional,institutional
gemini2,cs,1,institutional,institutional
gemini2,en,1,institutional,institutional
gemini2,ja,1,institutional,institutional
gpt-4o,cs,1,institutional,institutional
gpt-4o,en,1,institutional,institutional
gpt-4o,ja,1,institutional,institutional
llama3.3,cs,1,institutional,institutional
llama3.3,en,1,institutional,institutional
llama3.3,ja,2,individualized,"individualized,institutional"
mistralL,cs,1,institutional,institutional
mistralL,en,1,institutional,institutional
mistralL,ja,1,institutional,institutional
qwen2.5,cs,1,institutional,institutional
qwen2.5,en,1,institutional,institutional
qwen2.5,ja,1,institutional,institutional
