model_short,language,median,mean,min,max,n
claude4,cs,1218.0,1179.0,1095,1224,3
claude4,en,1632.0,1636.0,1614,1662,3
claude4,ja,472.0,463.0,436,482,3
gemini2,cs,3384.0,3355.0,3297,3384,3
gemini2,en,4520.0,4533.0,4520,4559,3
gemini2,ja,1298.0,1298.0,1298,1298,3
gpt-4o,cs,1577.0,1580.0,1557,1605,3
gpt-4o,en,2032.0,1957.0,1782,2056,3
gpt-4o,ja,609.0,590.0,522,638,3
llama3.3,cs,14295.0,14172.0,13592,14629,3
llama3.3,en,1097.0,7026.0,904,19076,3
llama3.3,ja,5414.0,3859.0,546,5617,3
mistralL,cs,1794.0,1752.0,1543,1920,3
mistralL,en,2777.0,2853.0,2750,3033,3
mistralL,ja,866.0,883.0,821,961,3
qwen2.5,cs,1573.0,1521.0,1231,1759,3
qwen2.5,en,3119.0,3397.0,3090,3982,3
qwen2.5,ja,1114.0,1170.0,1028,1369,3
