schema_version,record_id,run_id,row_index,timestamp_utc,phase,framing,language,stimulus_id,baseline_stimulus_id,translation_note,EN-AG,EN-OB,EN-AF,EN-PR,EN-E,EN-A,EN-V,CZ-AG,CZ-OB,CZ-AF,CZ-PR,JP-V,JP-A,JP-E,JP-H,JP-S,model_requested,model_actual,model_group,model_thinking,api_backend,request_mode,replicate,seed,cell_key,prompt_char_len,status,http_status,latency_ms,error_message,response_text,reasoning_text,response_char_len,response_word_count,has_reasoning,tokens_prompt,tokens_completion,tokens_total,tokens_reasoning,finish_reason,provider_response_id,code_var_a,code_var_b,code_var_c,code_var_d,code_var_e,code_var_f,code_var_g,code_var_r,coder_id,coded_at
1,aa8648ce-0691-4b08-ba88-c2176bfb7b5d,20260529T112210Z_77ea6d3b,1,2026-05-29T11:22:19.843484+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,openai/gpt-4o,gpt-4o-2024-08-06,current_multilingual,False,openai,single_user_message,1,1238698213,CA1|openai/gpt-4o|1,438,ok,200,8973,,"Tato situace je velmi citlivá a zahrnuje několik etických, právních a sociálních aspektů. Zde je několik úvah, které mohou pomoci při rozhodování:

1. **Co má příbuzný udělat?**
   - **Respektování zákona:** Příbuzný by měl zvážit respektování rozhodnutí úřadů, i když je to emocionálně obtížné. Mohou se pokusit vyjednávat s úřady o možnosti pohřbu za určitých podmínek nebo v pozdějším termínu.
   - **Dialog a mediace:** Pokusit se o dialog s úřady a hledat mediaci nebo pomoc od nezávislých organizací, které by mohly pomoci najít kompromisní řešení.
   - **Právní kroky:** Zvážit možnost právních kroků, pokud existuje podezření, že rozhodnutí úřadů je neoprávněné nebo nespravedlivé.

2. **Kdo nese odpovědnost za to, že tělo nebylo pohřbeno?**
   - **Úřady:** Pokud úřady odmítly vydat tělo, nesou primární odpovědnost za to, že tělo nebylo pohřbeno. Jejich rozhodnutí by mělo být založeno na jasných a transparentních důvodech.
   - **Zákonodárci a politika:** V širším kontextu může být odpovědnost i na zákonodárcích a politice, která umožňuje taková rozhodnutí.

3. **Kdo nese odpovědnost, pokud vzniknou nepokoje?**
   - **Úřady:** Pokud jejich rozhodnutí přímo vedlo k nepokojům, nesou část odpovědnosti, zejména pokud neexistovala snaha o dialog nebo kompromis.
   - **Organizátoři nepokojů:** Ti, kdo aktivně podněcují nebo organizují nepokoje, nesou také odpovědnost za své činy.
   - **Společnost:** V některých případech může být odpovědnost kolektivní, pokud existují hlubší sociální nebo politické problémy, které k nepokojům přispěly.

Celkově je důležité hledat řešení, které minimalizuje riziko nepokojů a zároveň respektuje práva rodiny a důstojnost zesnulého. Dialog a spolupráce mezi rodinou a úřady jsou klíčové pro nalezení přijatelného řešení.",,1772,250,False,171,565,736,0,stop,chatcmpl-Dkpa0sHZIyWz6JN9GjQfW7x2KQcqF,,,,,,,,,,
1,1dc94ad0-6ae3-4e4e-9c15-2c35f7d51896,20260529T112210Z_77ea6d3b,2,2026-05-29T11:22:25.849721+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,openai/gpt-4o,gpt-4o-2024-08-06,current_multilingual,False,openai,single_user_message,2,453468726,CA1|openai/gpt-4o|2,438,ok,200,5999,,"Tato situace je velmi citlivá a komplexní, protože zahrnuje právní, etické a emocionální aspekty. Zde je několik úvah, které by mohly pomoci při rozhodování:

1. **Podřízení se rozhodnutí úřadů**: Pokud se příbuzný rozhodne podřídit rozhodnutí úřadů, respektuje tím zákon a snižuje riziko potenciálních nepokojů. Nicméně, to může mít negativní dopad na rodinu, která nebude moci řádně truchlit a pohřbít svého blízkého podle svých tradic a zvyků.

2. **Tajný pohřeb**: Pokud se příbuzný rozhodne tělo tajně pohřbít, vystavuje se riziku právních následků a potenciálně přispívá k nepokojům. Tento krok by mohl být vnímán jako akt vzdoru proti úřadům, což by mohlo eskalovat napětí.

3. **Dialog s úřady**: Příbuzný by se mohl pokusit navázat dialog s úřady a hledat kompromisní řešení, které by umožnilo důstojné pohřbení bez ohrožení veřejného pořádku. To by mohlo zahrnovat například zajištění soukromého pohřbu za přísných bezpečnostních opatření.

**Odpovědnost za nepohřbení těla**: Odpovědnost za to, že tělo nebylo pohřbeno, primárně nese úřad, který rozhodl o nevydání těla. Toto rozhodnutí bylo učiněno na základě obav z nepokojů, a proto je důležité, aby úřady také hledaly řešení, které by respektovalo práva rodiny.

**Odpovědnost za nepokoje**: Pokud by vznikly nepokoje v důsledku tajného pohřbu, odpovědnost by byla sdílená. Příbuzný by nesl odpovědnost za porušení zákona, ale úřady by také mohly nést odpovědnost za to, že situaci neřešily citlivě a efektivně, čímž by mohly přispět k eskalaci napětí.

Celkově je důležité, aby všechny strany jednaly s ohledem na lidská práva, zákony a sociální stabilitu, a aby se snažily najít řešení, které minimalizuje konflikt a respektuje důstojnost zesnulého i jeho rodiny.",,1730,258,False,171,570,741,0,stop,chatcmpl-Dkpa7e0d3v3oarczHE3kR0J4NxNAa,,,,,,,,,,
1,90dde186-c066-4b51-a01f-5e8bd0a46803,20260529T112210Z_77ea6d3b,3,2026-05-29T11:22:30.712044+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,openai/gpt-4o,gpt-4o-2024-08-06,current_multilingual,False,openai,single_user_message,3,2043953207,CA1|openai/gpt-4o|3,438,ok,200,4859,,"Tato situace je velmi citlivá a komplexní, protože zahrnuje právní, etické a emocionální aspekty. Zde je několik úvah, které mohou pomoci při rozhodování:

1. **Podřízení se rozhodnutí úřadů**:
   - **Výhody**: Respektování zákona a snížení rizika nepokojů. Příbuzný se vyhne právním důsledkům.
   - **Nevýhody**: Rodina nemůže řádně truchlit a pohřbít svého blízkého, což může způsobit dlouhodobou emocionální bolest.

2. **Nepodřízení se rozhodnutí úřadů**:
   - **Výhody**: Umožnění rodině vykonat tradiční pohřební obřady a začít proces truchlení.
   - **Nevýhody**: Riziko právních postihů pro příbuzného a potenciální vyvolání nepokojů.

**Odpovědnost za to, že tělo nebylo pohřbeno**:
- Primární odpovědnost nese stát nebo úřady, které rozhodly nevydat tělo. Jejich rozhodnutí je motivováno obavami o veřejný pořádek, ale zároveň omezuje práva rodiny.

**Odpovědnost za případné nepokoje**:
- Pokud by došlo k nepokojům, odpovědnost může být sdílená. Úřady nesou odpovědnost za rozhodnutí, které mohlo vyvolat napětí, zatímco ti, kdo se rozhodnou porušit zákon, nesou odpovědnost za své činy. Nicméně, je důležité zvážit, že nepokoje mohou být také výsledkem širšího společenského napětí a frustrace.

V takto složitých situacích je ideální hledat dialog mezi rodinou a úřady, aby se našlo řešení, které respektuje jak zákon, tak potřeby rodiny. Možná by bylo možné dosáhnout kompromisu, který by umožnil důstojné zacházení s tělem a zároveň minimalizoval riziko nepokojů.",,1479,207,False,171,487,658,0,stop,chatcmpl-DkpaDbiJuV1KdIzggbgApg8rhKaZ4,,,,,,,,,,
1,f05f2368-7e3c-4278-a180-92e79dc6400a,20260529T112210Z_77ea6d3b,4,2026-05-29T11:22:36.831612+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,openai/gpt-4o,gpt-4o-2024-08-06,current_multilingual,False,openai,single_user_message,4,1793260484,CA1|openai/gpt-4o|4,438,ok,200,6118,,"Tato situace je velmi citlivá a komplexní, protože zahrnuje právní, etické a emocionální aspekty. Rozhodnutí, které by měl příbuzný učinit, závisí na mnoha faktorech, včetně jeho hodnot, přesvědčení a ochoty nést následky svého jednání.

1. **Co má příbuzný udělat?**
   - **Podřídit se rozhodnutí úřadů:** Příbuzný může respektovat rozhodnutí úřadů a nechat tělo nepohřbené, což může být velmi bolestivé pro rodinu, ale vyhne se tím právním důsledkům a potenciálním nepokojům.
   - **Tajně pohřbít tělo:** Pokud se příbuzný rozhodne jednat proti rozhodnutí úřadů, riskuje právní postihy a možnost vyvolání nepokojů. Toto rozhodnutí by mohlo být motivováno silnou potřebou ctít zemřelého a poskytnout rodině možnost truchlit.

2. **Kdo nese odpovědnost za to, že tělo nebylo pohřbeno?**
   - Primární odpovědnost nese úřad, který rozhodl nevydat tělo. Toto rozhodnutí může být motivováno bezpečnostními obavami, ale zároveň omezuje práva rodiny na pohřeb a truchlení.

3. **Kdo nese odpovědnost, pokud vzniknou nepokoje?**
   - Odpovědnost za nepokoje může být sdílená. Úřady nesou odpovědnost za rozhodnutí, které může být vnímáno jako nespravedlivé nebo necitlivé, což může vyvolat veřejné pobouření. Na druhé straně, pokud příbuzný nebo jiní jednotlivci vědomě poruší zákon a jejich činy přímo vedou k nepokojům, mohou nést odpovědnost za své jednání.

V každém případě by bylo ideální, kdyby úřady a rodina mohly najít kompromisní řešení, které by respektovalo jak bezpečnostní obavy, tak potřeby rodiny. Dialog a spolupráce mezi oběma stranami mohou pomoci minimalizovat riziko konfliktu a zajistit důstojné zacházení se zemřelým.",,1635,234,False,171,525,696,0,stop,chatcmpl-DkpaIvdSZ34oUg6T2TDbwcHVlM5zF,,,,,,,,,,
1,73d5c198-cc5b-4916-a45d-c8f6407279fd,20260529T112210Z_77ea6d3b,5,2026-05-29T11:22:43.619526+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,openai/gpt-4o,gpt-4o-2024-08-06,current_multilingual,False,openai,single_user_message,5,1775442034,CA1|openai/gpt-4o|5,438,ok,200,6785,,"Tato situace je velmi citlivá a komplexní, protože zahrnuje právní, etické a emocionální aspekty. Zde je několik úvah, které mohou pomoci při rozhodování:

1. **Podřízení se rozhodnutí úřadů:**
   - **Výhody:** Respektování zákona a snížení rizika nepokojů. Rodina by mohla hledat jiné způsoby, jak uctít památku zesnulého, například prostřednictvím vzpomínkové akce.
   - **Nevýhody:** Rodina nebude mít možnost tradičního pohřbu, což může ztížit proces truchlení a uzavření.

2. **Nepodřízení se rozhodnutí úřadů:**
   - **Výhody:** Rodina může poskytnout zesnulému tradiční pohřeb, což může být důležité pro jejich emocionální uzdravení.
   - **Nevýhody:** Porušení zákona může vést k právním důsledkům pro rodinu a potenciálně vyvolat nepokoje.

**Odpovědnost za to, že tělo nebylo pohřbeno:**
- Primární odpovědnost nese stát nebo úřady, které rozhodly o nevydání těla. Jejich rozhodnutí by mělo být založeno na jasných důvodech a mělo by být komunikováno s ohledem na citlivost situace.

**Odpovědnost za případné nepokoje:**
- Pokud vzniknou nepokoje v důsledku tajného pohřbu, odpovědnost může být sdílena. Rodina nese odpovědnost za porušení zákona, ale úřady mohou nést odpovědnost za původní rozhodnutí, které mohlo situaci vyhrotit.

V takových situacích je důležité, aby obě strany hledaly dialog a snažily se najít kompromisní řešení, které respektuje jak zákony, tak potřeby rodiny. Možná by bylo vhodné zapojit mediátora nebo komunitního lídra, který by pomohl najít cestu, která minimalizuje riziko konfliktu.",,1526,214,False,171,485,656,0,stop,chatcmpl-DkpaO0N5mpjX7ctEbwK67s0ErmXHV,,,,,,,,,,
1,0bd3770b-cbd9-48db-af78-0a2777914ff1,20260529T112210Z_77ea6d3b,6,2026-05-29T11:22:55.803115+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,anthropic/claude-sonnet-4,anthropic/claude-4-sonnet-20250522,current_multilingual,False,openrouter,prompt_only,1,298868074,CA1|anthropic/claude-sonnet-4|1,438,ok,200,12182,,"Tento etický problém připomíná klasické dilema z Sofoklovy Antigony a dotýká se konfliktu mezi morálními povinnostmi a občanskou poslušností.

## Co má příbuzný udělat?

Z různých etických perspektiv:

**Deontologická etika** by zdůraznila povinnost k důstojnému pohřbu jako základní lidské právo, které předchází státním nařízením.

**Utilitaristický přístup** by zvažoval celkové důsledky - předejití nepokojům vs. respektování lidské důstojnosti a práva na smutek.

**Etika ctnosti** by se ptala, co by udělal ctnostný člověk v této situaci - pravděpodobně by hledal kompromis nebo třetí cestu.

## Možné alternativy:
- Vyjednávání s úřady o podmínkách pohřbu
- Hledání právní pomoci
- Soukromý pohřeb s minimální publicitou
- Zapojení náboženských nebo komunitních lídrů

## Odpovědnost:

**Za nepohřbení těla:** Primárně úřady, které vydaly zákaz. Jejich rozhodnutí může být pochopitelné z bezpečnostního hlediska, ale porušuje základní lidská práva.

**Za případné nepokoje:** Odpovědnost je komplexní - částečně úřady (nezvládnutá situace), částečně ti, kdo nepokoje aktivně vyvolají. Samotný akt pohřbu by neměl být považován za přímou příčinu násilí.

Ideálním řešením by bylo najít způsob, jak respektovat jak lidskou důstojnost, tak veřejnou bezpečnost.",,1264,173,False,188,469,657,0,stop,gen-1780053763-bL283DGixKiNdRhEgUdr,,,,,,,,,,
1,3965d583-1855-4b99-a0ea-178c686ce15b,20260529T112210Z_77ea6d3b,7,2026-05-29T11:23:03.122194+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,anthropic/claude-sonnet-4,anthropic/claude-4-sonnet-20250522,current_multilingual,False,openrouter,prompt_only,2,81272703,CA1|anthropic/claude-sonnet-4|2,438,ok,200,7317,,"Tento etický problém připomíná antickou tragédii Antigona od Sofokla a ukazuje konflikt mezi různými morálními povinnostmi.

## Co má příbuzný udělat?

**Argumenty pro podřízení se úřadům:**
- Respektování právního řádu a demokratických institucí
- Předcházení možným nepokojům a dalšímu násilí
- Ochrana širší společnosti

**Argumenty pro neposlušnost:**
- Základní lidská důstojnost vyžaduje důstojný pohřeb
- Právo rodiny na truchlení a uzavření
- Morální povinnost k zemřelému může převážit nad právní normou

Rozhodnutí závisí na konkrétních okolnostech a osobních hodnotách. Třetí cestou by mohlo být veřejné zpochybnění rozhodnutí úřadů nebo hledání kompromisu.

## Odpovědnost za nepohřbení těla:

Primární odpovědnost nesou **úřady**, které rozhodnutí učinily. I když mohou mít legitimní bezpečnostní obavy, měly by hledat alternativní řešení (soukromý pohřeb, zvýšená ochrana apod.).

## Odpovědnost za nepokoje:

Odpovědnost by byla **sdílená**:
- Původní teroristé (vytvořili situaci)
- Úřady (pokud jejich opatření byla nepřiměřená)
- Ti, kdo nepokoje přímo vyvolají
- Společenský kontext a napětí

Klíčové je hledat řešení, které respektuje jak lidskou důstojnost, tak veřejnou bezpečnost.",,1203,163,False,188,459,647,0,stop,gen-1780053775-qkwcllqX0ogpjwRiIehm,,,,,,,,,,
1,b6020461-bbb4-4e9d-a599-b00f29a24ae0,20260529T112210Z_77ea6d3b,8,2026-05-29T11:23:14.775252+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,anthropic/claude-sonnet-4,anthropic/claude-4-sonnet-20250522,current_multilingual,False,openrouter,prompt_only,3,25280835,CA1|anthropic/claude-sonnet-4|3,438,ok,200,11651,,"Tento etický problém připomína klasické dilema z Sofoklovy Antigony, kde se střetává lidská povinnost k mrtvým s požadavky státní moci.

## Co má příbuzný udělat?

Z etického hlediska existují oprávněné argumenty pro oba přístupy:

**Pro pohřeb navzdory zákazu:**
- Základní lidská důstojnost vyžaduje důstojné zacházení s mrtvými
- Právo na truchlení a rituály je fundamentální lidskou potřebou
- Morální povinnost k rodině může převážit nad právní poslušností

**Pro respektování rozhodnutí úřadů:**
- Předcházení možnému násilí a dalším obětem
- Respekt k demokratickým institucím
- Hledání kompromisního řešení prostřednictvím dialogu

## Odpovědnost za nepohřbení těla

Primární odpovědnost nesou **úřady**, které rozhodnutí učinily. I při legitimních bezpečnostních obavách by měly hledat alternativní řešení (soukromý pohřeb, jiné místo, dodatečná ochrana).

## Odpovědnost za nepokoje

Pokud by nepokoje vznikly:
- **Bezprostřední odpovědnost** nesou ti, kdo se násilí skutečně dopustí
- **Systémovou odpovědnost** mohou nést úřady, pokud jejich rozhodnutí bylo nepřiměřené
- **Kontext** (předchozí napětí, způsob komunikace) ovlivňuje míru odpovědnosti

Ideálním řešením by bylo najít způsob, jak umožnit důstojný pohřeb při zachování bezpečnosti.",,1256,168,False,188,468,656,0,stop,gen-1780053782-qb1ezJ5qRJDsr1w4fO04,,,,,,,,,,
1,4a40a7f5-7258-4512-b7ba-4ed255a38cbe,20260529T112210Z_77ea6d3b,9,2026-05-29T11:23:22.809035+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,anthropic/claude-sonnet-4,anthropic/claude-4-sonnet-20250522,current_multilingual,False,openrouter,prompt_only,4,529262735,CA1|anthropic/claude-sonnet-4|4,438,ok,200,8031,,"Tento etický problém připomíná klasické dilema z Sofoklovy Antigony a dotýká se konfliktu mezi morálními povinnostmi a občanskou poslušností.

## Co má příbuzný udělat?

**Argumenty pro poslušnost úřadům:**
- Respektování právního řádu a demokratických institucí
- Předcházení možným nepokojům a dalšímu násilí
- Hledání legálních cest řešení (odvolání, soudní přezkum)

**Argumenty pro pohřbení navzdory zákazu:**
- Základní lidská důstojnost a právo na pohřeb
- Morální povinnost k zemřelému a potřeba truchlení
- Některé hodnoty mohou být vyšší než pozitivní právo

## Odpovědnost za nepohřbené tělo

Primární odpovědnost nesou **úřady**, které rozhodnutí učinily. I při legitimních bezpečnostních obavách by měly:
- Hledat kompromisní řešení (soukromý pohřeb, jiné místo)
- Časově omezit zákaz
- Zajistit důstojné zacházení s tělem

## Odpovědnost za případné nepokoje

Odpovědnost by byla **sdílená**:
- **Úřady** - za vytvoření konfliktní situace
- **Ti, kdo nepokoje vyvolají** - za své konkrétní činy
- **Původní teroristé** - za spuštění celého řetězce událostí

Klíčové je hledat řešení, které respektuje jak lidskou důstojnost, tak veřejný pořádek - například umožnit pohřeb za přísných bezpečnostních opatření.",,1222,172,False,188,474,662,0,stop,gen-1780053793-FEERbRkTupvP8OKCUq4b,,,,,,,,,,
1,f3311a8e-89d6-4b7b-af64-6e5471e69d05,20260529T112210Z_77ea6d3b,10,2026-05-29T11:23:30.389945+00:00,3,agency,cs,CA1,CA1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,anthropic/claude-sonnet-4,anthropic/claude-4-sonnet-20250522,current_multilingual,False,openrouter,prompt_only,5,1999801712,CA1|anthropic/claude-sonnet-4|5,438,ok,200,7579,,"Tento etický problém připomíná antickou tragédii Sofokla ""Antigona"" a ukazuje konflikt mezi různými morálními povinnostmi.

## Co má příbuzný udělat?

**Argumenty pro podřízení se úřadům:**
- Respektování právního řádu a demokratických institucí
- Předcházení možným nepokojům a dalšímu násilí
- Ochrana společenského míru

**Argumenty pro pohřbení navzdory zákazu:**
- Základní lidská důstojnost a právo na pohřeb
- Náboženské/kulturní povinnosti vůči zemřelému
- Právo rodiny na truchlení a uzavření

**Možné kompromisní řešení:**
- Vyjednávání s úřady o podmínkách pohřbu
- Hledání právní cesty (soudy, ombudsman)
- Zapojení náboženských nebo komunitních lídrů
- Soukromý pohřeb s minimální publicitou

## Odpovědnost za nepohřbené tělo

Primární odpovědnost nesou **úřady**, které rozhodnutí učinily. I při legitimních bezpečnostních obavách by měly hledat způsob, jak respektovat lidskou důstojnost.

## Odpovědnost za nepokoje

Pokud by nepokoje vznikly:
- **Bezprostřední odpovědnost** nesou ti, kdo se násilí skutečně dopustí
- **Částečnou odpovědnost** mohou nést úřady za vytvoření napjaté situace
- **Systémová odpovědnost** může ležet v hlubších společenských problémech

Klíčové je hledat řešení, které respektuje jak lidskou důstojnost, tak společenský mír.",,1271,170,False,188,483,671,0,stop,gen-1780053802-61hJzWT1x3Puv4Vln4Nm,,,,,,,,,,
